,District,PROPERTY Address,PROPERTY Boro-Block-Lot,PROPERTY Building Classification,PROPERTY Condo Section,PROPERTY Full Market Value,PROPERTY Gross Income per SqFt,PROPERTY Gross SqFt,PROPERTY Market Value per SqFt,PROPERTY Neighborhood,PROPERTY Total Units,PROPERTY Year Built,RENTAL 1 Address,RENTAL 1 Boro-Block-Lot,RENTAL 1 Building Classification,RENTAL 1 Full Market Value,RENTAL 1 Gross Income per SqFt,RENTAL 1 Gross SqFt,RENTAL 1 Market Value per SqFt,RENTAL 1 Neighborhood,RENTAL 1 Total Units,RENTAL 1 Year Built,Year
4181,Brooklyn,6911 SHORE ROAD,3-05868-7502,R4-ELEVATOR,954-R1,2810000,21.21,30510,92,BAY RIDGE,16,2002,7501 5 AVENUE,3-05942-0007,C7-WALK-UP,3240000,33.7,20630,157,BAY RIDGE,17,1930,2010
4182,Brooklyn,7123 3 AVENUE,3-05891-7502,R9-CONDOPS,265-R1,471000,9.84,16737,28.1,BAY RIDGE,18,0,6820 RIDGE BOULEVARD,3-05861-0053,C1-WALK-UP,625000,9.84,26700,23.41,BAY RIDGE,24,1916,2010
4183,Brooklyn,106 BATTERY AVENUE,3-06092-7501,R2-WALK-UP,231-R1,808000,23,8088,100,BAY RIDGE,11,1988,9124 3 AVENUE,3-06085-0047,C7-WALK-UP,547000,20.32,7200,76,BAY RIDGE,11,1925,2010
4184,Brooklyn,118 BATTERY AVENUE,3-06092-7503,R2-WALK-UP,1331-R1,1130000,13.95,22160,51,BAY RIDGE,12,2004,125 95 STREET,3-06115-0151,C1-WALK-UP,717000,13.95,16500,43.5,BAY RIDGE,14,2002,2010
4185,Brooklyn,52 92 STREET,3-06099-7501,R4-ELEVATOR,846-R1,3095001,0,34103,91,BAY RIDGE,30,2001,7501 5 AVENUE,3-05942-0007,C7-WALK-UP,3240000,33.7,20630,157,BAY RIDGE,17,1930,2010
4186,Brooklyn,115 96 STREET,3-06120-7501,R4-ELEVATOR,800-R1,1170000,16,18432,63,BAY RIDGE,14,1988,378 93 STREET,3-06107-0033,D1-ELEVATOR,800000,20.27,10555,76,BAY RIDGE,12,2003,2010
4187,Brooklyn,9935 SHORE ROAD,3-06133-7501,R4-ELEVATOR,1125-R1,1960000,16.05,30793,64,BAY RIDGE,24,2004,4018 5 AVENUE,3-00714-0044,C7-WALK-UP,1390000,16.69,24620,56,SUNSET PARK,32,1906,2010
4188,Brooklyn,336 99 STREET,3-06134-7501,R2-WALK-UP,273-R1,512002,13.52,10971,46.7,BAY RIDGE,15,1983,92 PARROTT PLACE,3-06093-0029,C1-WALK-UP,395000,13.52,9369,42.2,BAY RIDGE,12,1978,2010
4189,Brooklyn,9921 4 AVENUE,3-06135-7501,R4-ELEVATOR,118-R1,2420002,14,47420,51,BAY RIDGE,52,1987,3094 BRIGHTON 5 STREET,3-08688-0079,D1-ELEVATOR,2130000,13.1,52200,40.8,BRIGHTON BEACH,43,1929,2010
4190,Brooklyn,10002 4 AVENUE,3-06137-7502,R4-ELEVATOR,2173-R1,1840000,21,20790,89,BAY RIDGE,18,2008,378 93 STREET,3-06107-0033,D1-ELEVATOR,800000,20.27,10555,76,BAY RIDGE,12,2003,2010
4191,Brooklyn,7620 BAY PARKWAY,3-06241-7501,R4-ELEVATOR,2225-R1,1830002,0,28750,64,BENSONHURST,21,2005,6713 19 AVENUE,3-05570-0001,C7-WALK-UP,1100000,11.56,34000,32.4,BENSONHURST,41,1928,2010
4192,Brooklyn,2080 77 STREET,3-06251-7501,R2-WALK-UP,293-R1,1129999,11.41,28800,39.2,BENSONHURST,28,1920,1501 BAY RIDGE AVENUE,3-05573-0001,C1-WALK-UP,712000,11.93,21240,33.5,BENSONHURST,25,1927,2010
4193,Brooklyn,10 AVENUE P,3-06253-7501,R4-ELEVATOR,36-R1,2408009,10.77,64800,37.2,BENSONHURST,65,1939,6801 19 AVENUE,3-05578-0001,D1-ELEVATOR,3170000,12.57,89772,35.3,BENSONHURST,95,1931,2010
